Event Action,Event Category,Date,Total Events,Page Path 1,Page Path 2,Page Path 3,Page Path 4
OrganizationDownload,CKAN Resource Download Request,30-Jul-22,2,dataset,e283ee5a-cf18-4f20-a92c-ee94a2866ccd,resource,71729331-2f09-4ea4-a52f-a2661972e146
OrganizationDownload,CKAN Resource Download Request,9-Oct-22,2,dataset,e283ee5a-cf18-4f20-a92c-ee94a2866ccd,resource,71729331-2f09-4ea4-a52f-a2661972e146
OrganizationDownload,CKAN Resource Download Request,22-Oct-22,2,dataset,e283ee5a-cf18-4f20-a92c-ee94a2866ccd,resource,71729331-2f09-4ea4-a52f-a2661972e146
OrganizationDownload,CKAN Resource Download Request,23-Oct-22,2,dataset,e283ee5a-cf18-4f20-a92c-ee94a2866ccd,resource,71729331-2f09-4ea4-a52f-a2661972e146
OrganizationDownload,CKAN Resource Download Request,30-Oct-22,2,dataset,e283ee5a-cf18-4f20-a92c-ee94a2866ccd,resource,71729331-2f09-4ea4-a52f-a2661972e146
OrganizationDownload,CKAN Resource Download Request,6-Nov-22,2,dataset,e283ee5a-cf18-4f20-a92c-ee94a2866ccd,resource,71729331-2f09-4ea4-a52f-a2661972e146
OrganizationDownload,CKAN Resource Download Request,11-Nov-22,2,dataset,e283ee5a-cf18-4f20-a92c-ee94a2866ccd,resource,71729331-2f09-4ea4-a52f-a2661972e146
OrganizationDownload,CKAN Resource Download Request,12-Nov-22,2,dataset,e283ee5a-cf18-4f20-a92c-ee94a2866ccd,resource,71729331-2f09-4ea4-a52f-a2661972e146
OrganizationDownload,CKAN Resource Download Request,15-Nov-22,2,dataset,e283ee5a-cf18-4f20-a92c-ee94a2866ccd,resource,71729331-2f09-4ea4-a52f-a2661972e146
OrganizationDownload,CKAN Resource Download Request,19-Nov-22,2,dataset,e283ee5a-cf18-4f20-a92c-ee94a2866ccd,resource,71729331-2f09-4ea4-a52f-a2661972e146
OrganizationDownload,CKAN Resource Download Request,20-Nov-22,2,dataset,e283ee5a-cf18-4f20-a92c-ee94a2866ccd,resource,71729331-2f09-4ea4-a52f-a2661972e146
OrganizationDownload,CKAN Resource Download Request,24-Nov-22,2,dataset,e283ee5a-cf18-4f20-a92c-ee94a2866ccd,resource,71729331-2f09-4ea4-a52f-a2661972e146
OrganizationDownload,CKAN Resource Download Request,25-Nov-22,2,dataset,e283ee5a-cf18-4f20-a92c-ee94a2866ccd,resource,71729331-2f09-4ea4-a52f-a2661972e146
OrganizationDownload,CKAN Resource Download Request,26-Nov-22,2,dataset,e283ee5a-cf18-4f20-a92c-ee94a2866ccd,resource,71729331-2f09-4ea4-a52f-a2661972e146
OrganizationDownload,CKAN Resource Download Request,27-Nov-22,2,dataset,e283ee5a-cf18-4f20-a92c-ee94a2866ccd,resource,71729331-2f09-4ea4-a52f-a2661972e146
OrganizationDownload,CKAN Resource Download Request,30-Nov-22,2,dataset,e283ee5a-cf18-4f20-a92c-ee94a2866ccd,resource,71729331-2f09-4ea4-a52f-a2661972e146
OrganizationDownload,CKAN Resource Download Request,4-Dec-22,2,dataset,e283ee5a-cf18-4f20-a92c-ee94a2866ccd,resource,71729331-2f09-4ea4-a52f-a2661972e146
OrganizationDownload,CKAN Resource Download Request,5-Dec-22,2,dataset,e283ee5a-cf18-4f20-a92c-ee94a2866ccd,resource,71729331-2f09-4ea4-a52f-a2661972e146
OrganizationDownload,CKAN Resource Download Request,8-Dec-22,2,dataset,e283ee5a-cf18-4f20-a92c-ee94a2866ccd,resource,71729331-2f09-4ea4-a52f-a2661972e146
OrganizationDownload,CKAN Resource Download Request,9-Dec-22,2,dataset,e283ee5a-cf18-4f20-a92c-ee94a2866ccd,resource,71729331-2f09-4ea4-a52f-a2661972e146
OrganizationDownload,CKAN Resource Download Request,10-Dec-22,2,dataset,e283ee5a-cf18-4f20-a92c-ee94a2866ccd,resource,71729331-2f09-4ea4-a52f-a2661972e146
OrganizationDownload,CKAN Resource Download Request,11-Dec-22,2,dataset,e283ee5a-cf18-4f20-a92c-ee94a2866ccd,resource,71729331-2f09-4ea4-a52f-a2661972e146
OrganizationDownload,CKAN Resource Download Request,17-Dec-22,2,dataset,e283ee5a-cf18-4f20-a92c-ee94a2866ccd,resource,71729331-2f09-4ea4-a52f-a2661972e146
OrganizationDownload,CKAN Resource Download Request,19-Dec-22,2,dataset,e283ee5a-cf18-4f20-a92c-ee94a2866ccd,resource,71729331-2f09-4ea4-a52f-a2661972e146
OrganizationDownload,CKAN Resource Download Request,25-Dec-22,2,dataset,e283ee5a-cf18-4f20-a92c-ee94a2866ccd,resource,71729331-2f09-4ea4-a52f-a2661972e146
OrganizationDownload,CKAN Resource Download Request,26-Dec-22,2,dataset,e283ee5a-cf18-4f20-a92c-ee94a2866ccd,resource,71729331-2f09-4ea4-a52f-a2661972e146
